"hanzi","pinyin","bucket","hsk","freq","correct","incorrect","total","accuracy"
"承","chéng","Archive","5","639","0","0","0",""
"股","gǔ","Archive","5","644","0","0","0",""
"益","yì","Archive","5","649","0","0","0",""
"血","xuè","Archive","5","658","0","0","0",""
"素","sù","Archive","5","661","0","0","0",""
"夜","yè","Archive","5","665","0","0","0",""
"初","chū","Archive","5","667","0","0","0",""
"源","yuán","Archive","5","670","0","0","0",""
"食","shí","Archive","5","671","0","0","0",""
"待","dài","Archive","5","673","0","0","0",""
"述","shù","Archive","5","674","0","0","0",""
"陆","lù","Archive","5","675","0","0","0",""
"置","zhì","Archive","5","677","0","0","0",""
"劳","láo","Archive","5","679","0","0","0",""
"财","cái","Archive","5","680","0","0","0",""
"纳","nà","Archive","5","684","0","0","0",""
"雷","léi","Archive","5","686","0","0","0",""
"模","mó","Archive","5","689","0","0","0",""
"充","chōng","Archive","5","690","0","0","0",""
"木","mù","Archive","5","694","0","0","0",""
"龙","lóng","Archive","5","696","0","0","0",""
"冲","chōng","Archive","5","702","0","0","0",""
"射","shè","Archive","5","703","0","0","0",""
"略","lüè","Archive","5","704","0","0","0",""
"范","fàn","Archive","5","705","0","0","0",""
"村","cūn","Archive","5","712","0","0","0",""
"哈","hā","Archive","5","713","0","0","0",""
"退","tuì","Archive","5","723","0","0","0",""
"余","yú","Archive","5","729","0","0","0",""
"痛","tòng","Archive","5","730","0","0","0",""
"灵","líng","Archive","5","734","0","0","0",""
"配","pèi","Archive","5","738","0","0","0",""
"征","zhēng","Archive","5","739","0","0","0",""
"挥","huī","Archive","5","742","0","0","0",""
"胜","shèng","Archive","5","743","0","0","0",""
"阶","jiē","Archive","5","745","0","0","0",""
"沉","chén","Archive","5","747","0","0","0",""
"善","shàn","Archive","5","749","0","0","0",""
"执","zhí","Archive","5","763","0","0","0",""
"追","zhuī","Archive","5","768","0","0","0",""
"宣","xuān","Archive","5","770","0","0","0",""
"佛","fú","Archive","5","771","0","0","0",""
"控","kòng","Archive","5","780","0","0","0",""
"税","shuì","Archive","5","781","0","0","0",""
"背","bèi","Archive","5","787","0","0","0",""
"阵","zhèn","Archive","5","788","0","0","0",""
"恶","è","Archive","5","792","0","0","0",""
"顿","dùn","Archive","5","794","0","0","0",""
"守","shǒu","Archive","5","796","0","0","0",""
"岛","dǎo","Archive","5","798","0","0","0",""
"托","tuō","Archive","5","799","0","0","0",""
"烈","liè","Archive","5","802","0","0","0",""
"索","suǒ","Archive","5","805","0","0","0",""
"胡","hú","Archive","5","806","0","0","0",""
"靠","kào","Archive","5","808","0","0","0",""
"版","bǎn","Archive","5","810","0","0","0",""
"宝","bǎo","Archive","5","811","0","0","0",""
"欧","ōu","Archive","5","823","0","0","0",""
"核","hé","Archive","5","828","0","0","0",""
"暗","àn","Archive","5","829","0","0","0",""
"良","liáng","Archive","5","835","0","0","0",""
"升","shēng","Archive","5","837","0","0","0",""
"临","lín","Archive","5","839","0","0","0",""
"架","jià","Archive","5","846","0","0","0",""
"域","yù","Archive","5","847","0","0","0",""
"括","kuò","Archive","5","850","0","0","0",""
"编","biān","Archive","5","858","0","0","0",""
"测","cè","Archive","5","861","0","0","0",""
"屋","wū","Archive","5","863","0","0","0",""
"渐","jiàn","Archive","5","870","0","0","0",""
"救","jiù","Archive","5","872","0","0","0",""
"枪","qiāng","Archive","5","874","0","0","0",""
"县","xiàn","Archive","5","877","0","0","0",""
"尚","shàng","Archive","5","878","0","0","0",""
"毫","háo","Archive","5","879","0","0","0",""
"移","yí","Archive","5","880","0","0","0",""
"娘","niáng","Archive","5","881","0","0","0",""
"智","zhì","Archive","5","885","0","0","0",""
"掌","zhǎng","Archive","5","890","0","0","0",""
"遗","yí","Archive","5","892","0","0","0",""
"固","gù","Archive","5","893","0","0","0",""
"席","xí","Archive","5","894","0","0","0",""
"秘","mì","Archive","5","896","0","0","0",""
"均","jūn","Archive","5","903","0","0","0",""
"销","xiāo","Archive","5","904","0","0","0",""
"诗","shī","Archive","5","906","0","0","0",""
"藏","cáng","Archive","5","907","0","0","0",""
"损","sǔn","Archive","5","911","0","0","0",""
"忽","hū","Archive","5","912","0","0","0",""
"巨","jù","Archive","5","913","0","0","0",""
"炮","pào","Archive","5","914","0","0","0",""
"录","lù","Archive","5","919","0","0","0",""
"乡","xiāng","Archive","5","922","0","0","0",""
"庭","tíng","Archive","5","931","0","0","0",""
"妇","fù","Archive","5","932","0","0","0",""
"归","guī","Archive","5","933","0","0","0",""
"含","hán","Archive","5","937","0","0","0",""
"摇","yáo","Archive","5","940","0","0","0",""
"补","bǔ","Archive","5","944","0","0","0",""
"谓","wèi","Archive","5","945","0","0","0",""
"毒","dú","Archive","5","947","0","0","0",""
"疗","liáo","Archive","5","949","0","0","0",""
"逐","zhú","Archive","5","954","0","0","0",""
"寻","xún","Archive","5","962","0","0","0",""
"厂","chǎng","Archive","5","963","0","0","0",""
"岸","àn","Archive","5","971","0","0","0",""
"炸","zhà","Archive","5","976","0","0","0",""
"载","zài","Archive","5","977","0","0","0",""
"避","bì","Archive","5","991","0","0","0",""
"抓","zhuā","Archive","5","992","0","0","0",""
"荣","róng","Archive","5","993","0","0","0",""
"姑","gū","Archive","5","994","0","0","0",""
"逃","táo","Archive","5","996","0","0","0",""
"顶","dǐng","Archive","5","1000","0","0","0",""
"玉","yù","Archive","5","1001","0","0","0",""
"迫","pò","Archive","5","1006","0","0","0",""
"洞","dòng","Archive","5","1015","0","0","0",""
"卷","juǎn","Archive","5","1016","0","0","0",""
"坦","tǎn","Archive","5","1017","0","0","0",""
"宁","níng","Archive","5","1019","0","0","0",""
"训","xùn","Archive","5","1022","0","0","0",""
"私","sī","Archive","5","1023","0","0","0",""
"丝","sī","Archive","5","1026","0","0","0",""
"握","wò","Archive","5","1032","0","0","0",""
"骨","gǔ","Archive","5","1036","0","0","0",""
"访","fǎng","Archive","5","1037","0","0","0",""
"弱","ruò","Archive","5","1038","0","0","0",""
"鬼","guǐ","Archive","5","1042","0","0","0",""
"软","ruǎn","Archive","5","1043","0","0","0",""
"扩","kuò","Archive","5","1051","0","0","0",""
"盖","gài","Archive","5","1052","0","0","0",""
"雄","xióng","Archive","5","1054","0","0","0",""
"稳","wěn","Archive","5","1055","0","0","0",""
